in,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style,titratable_acidity_ratio,acidity_index,sulfur_dioxide_ratio,chlorides_density_ratio,alcohol_ph_index,sulphates_alcohol_ratio,pH_category,quality_category
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,red,10.571428571428573,8.1,0.3235294117647059,0.07616756865103226,32.994,0.059574468085106386,high,average
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,red,8.863636363636363,8.68,0.373134328358209,0.09831460674157304,31.360000000000003,0.06938775510204082,medium,average
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,red,10.263157894736842,8.6,0.2777777777777778,0.09227683049147442,31.948,0.0663265306122449,medium,average
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,red,39.99999999999999,12.04,0.2833333333333333,0.0751503006012024,30.968000000000004,0.05918367346938775,medium,average
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,red,11.212121212121213,8.06,0.325,0.07516536380036079,32.994,0.059574468085106386,high,average
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,red,13.166666666666668,8.56,0.2542372881355932,0.06924929747089523,31.02,0.04893617021276596,medium,average
7,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,red,11.23076923076923,7.95,0.7142857142857143,0.06535290569072993,33.9,0.047,medium,good
8,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,red,13.448275862068966,8.399999999999999,0.5,0.07323434991974317,31.919999999999998,0.06,medium,good
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,red,15.0,8.36,0.16666666666666666,0.07115654439767488,35.175000000000004,0.0761904761904762,medium,average
10,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,red,11.551724137931036,7.36,0.23076923076923078,0.09739933728285972,30.175999999999995,0.05869565217391305,medium,average
12,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,red,9.105691056910569,6.215,0.2711864406779661,0.08951020818666398,35.442,0.052525252525252523,high,average
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,red,12.78688524590164,8.7,0.3103448275862069,0.11429717264888711,29.665999999999997,0.17142857142857143,medium,average
14,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,red,14.35483870967742,9.7,0.3586206896551724,0.17624674544362104,29.072,0.09565217391304348,medium,average
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,red,14.35483870967742,9.709999999999999,0.34459459459459457,0.17023833366713398,29.163999999999998,0.10108695652173914,medium,average
16,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,red,30.357142857142854,9.34,0.33980582524271846,0.0922860868692948,34.65,0.07142857142857142,medium,good
17,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,red,14.464285714285712,8.94,0.2857142857142857,0.36918138041733545,28.923000000000002,0.13763440860215054,medium,average
18,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,red,12.542372881355934,8.07,0.20689655172413793,0.08622418287547623,30.419999999999998,0.05555555555555555,medium,poor
19,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,red,24.6875,8.73,0.30357142857142855,0.342060387200321,27.967999999999996,0.1173913043478261,medium,average
20,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,red,40.45454545454545,9.600000000000001,0.48333333333333334,0.07724719101123595,31.866000000000003,0.05638297872340425,medium,average
21,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,red,19.487179487179485,8.299999999999999,0.323943661971831,0.08214786615908636,34.144,0.06701030927835053,high,average
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,red,18.372093023255815,8.540000000000001,0.2702702702702703,0.10636162954043749,30.115,0.09578947368421054,medium,average
23,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,red,17.346938775510203,9.1,0.13432835820895522,0.08426966292134831,29.798000000000002,0.05638297872340425,medium,average
24,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,red,17.25,7.44,0.525,0.08527287319422151,33.271,0.06494845360824743,medium,average
